City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,nikopol,47.5712,34.3964,23.03,55,25,4.05,UA,1718055433
285,tromso,69.6496,18.957,13.01,67,83,7.2,NO,1718055298
286,kintinku,-5.8833,35.2333,18.36,65,10,1.17,TZ,1718055433
287,puke,42.0444,19.8997,18.81,50,0,1.14,AL,1718055434
288,saint-joseph,-21.3667,55.6167,20.21,81,15,5.85,RE,1718055434
289,new norfolk,-42.7826,147.0587,12.18,87,100,3.8,AU,1718055434
290,port isabel,26.0734,-97.2086,36.05,63,0,5.66,US,1718055434
291,qui nhon,13.7667,109.2333,26.57,72,100,1.41,VN,1718055435
292,vila franca do campo,37.7167,-25.4333,19.23,99,84,2.28,PT,1718055435
293,qamdo,31.1667,97.2333,7.52,78,83,1.94,CN,1718055435
294,tselina,46.5338,41.0328,22.82,78,99,1.79,RU,1718055435
295,tralee,52.2704,-9.7026,9.29,87,72,1.75,IE,1718055435
296,hirara,24.8,125.2833,27.15,100,75,7.72,JP,1718055436
297,marquette,46.5333,-87.6335,18.21,38,4,2.68,US,1718055436
298,santa maria,-29.6842,-53.8069,22.61,83,0,1.54,BR,1718055436
299,lubao,14.9167,120.55,27.04,84,21,0.83,PH,1718055436
300,manokwari,-0.8667,134.0833,25.64,83,100,2.03,ID,1718055436
301,san agustin,20.5333,-103.4667,34.62,11,20,0.0,MX,1718055436
302,nar'yan-mar,67.6713,53.087,3.39,88,8,3.58,RU,1718055437
303,columbia,34.0007,-81.0348,28.42,48,0,3.09,US,1718055330
304,sinan,34.8262,126.1086,20.06,89,88,2.54,KR,1718055437
305,quepos,9.4236,-84.1652,27.63,82,50,1.18,CR,1718055294
306,lieksa,63.3167,30.0167,8.27,91,91,4.13,FI,1718055437
307,kismayo,-0.3582,42.5454,25.74,80,38,8.26,SO,1718055438
308,haiku-pauwela,20.9219,-156.3051,30.12,67,40,11.83,US,1718055191
309,tofol,5.3248,163.0078,28.87,78,62,6.49,FM,1718055438
310,coahuayana de hidalgo,18.7,-103.6583,30.39,59,44,4.18,MX,1718055438
311,lycksele,64.5954,18.6735,5.93,100,99,1.54,SE,1718055439
312,argostolion,38.1811,20.489,23.26,46,29,0.89,GR,1718055439
313,kulhudhuffushi,6.6221,73.07,28.25,78,100,6.59,MV,1718055439
314,ola,59.5833,151.2833,11.19,74,100,2.36,RU,1718055439
315,prevalje,46.5469,14.9208,17.03,99,100,1.36,SI,1718055439
316,shiqian,27.5225,108.2281,19.91,96,10,0.91,CN,1718055440
317,lajere,11.9797,11.4443,27.24,65,96,10.06,NG,1718055440
318,borovo,45.3764,18.9669,20.96,78,0,3.09,HR,1718055440
319,alta,69.9689,23.2717,12.59,67,75,4.63,NO,1718055205
320,westport,41.1415,-73.3579,24.6,50,75,6.17,US,1718055440
321,rawlins,41.7911,-107.2387,28.94,20,20,11.32,US,1718055190
322,el calafate,-50.3408,-72.2768,0.41,92,100,1.12,AR,1718055441
323,jamestown,42.097,-79.2353,12.79,79,100,4.63,US,1718055441
324,altai,46.3722,96.2583,12.34,48,22,1.11,MN,1718055441
